iter	Passed	Remaining
780	12759	3577
781	12774	3561
782	12788	3544
783	12803	3527
784	12818	3510
785	12833	3494
786	12848	3477
787	12862	3460
788	12877	3443
789	12891	3426
790	12906	3410
791	12921	3393
792	12939	3377
793	12954	3360
794	12968	3344
795	12983	3327
796	12998	3310
797	13013	3294
798	13027	3277
799	13042	3260
800	13058	3244
801	13073	3227
802	13088	3211
803	13103	3194
804	13118	3177
805	13134	3161
806	13150	3144
807	13168	3129
808	13184	3112
809	13200	3096
810	13215	3079
811	13230	3063
812	13245	3046
813	13259	3029
814	13275	3013
815	13290	2996
816	13304	2980
817	13320	2963
818	13334	2947
819	13350	2930
820	13366	2914
821	13381	2897
822	13396	2881
823	13410	2864
824	13426	2847
825	13440	2831
826	13457	2815
827	13471	2798
828	13487	2782
829	13502	2765
830	13518	2749
831	13534	2732
832	13550	2716
833	13565	2700
834	13581	2683
835	13596	2667
836	13611	2650
837	13626	2634
838	13642	2617
839	13657	2601
840	13673	2585
841	13688	2568
842	13705	2552
843	13720	2536
844	13736	2519
845	13751	2503
846	13766	2486
847	13781	2470
848	13796	2453
849	13811	2437
850	13825	2420
851	13840	2404
852	13856	2387
853	13871	2371
854	13885	2354
855	13900	2338
856	13918	2322
857	13933	2305
858	13948	2289
859	13963	2273
860	13978	2256
861	13993	2240
862	14008	2223
863	14023	2207
864	14038	2191
865	14053	2174
866	14067	2158
867	14082	2141
868	14097	2125
869	14112	2108
870	14126	2092
871	14142	2076
872	14157	2059
873	14172	2043
874	14187	2026
875	14202	2010
876	14218	1994
877	14233	1977
878	14249	1961
879	14265	1945
880	14279	1928
881	14294	1912
882	14309	1896
883	14324	1879
884	14339	1863
885	14354	1846
886	14368	1830
887	14383	1814
888	14398	1797
889	14412	1781
890	14428	1765
891	14444	1748
892	14459	1732
893	14475	1716
894	14491	1700
895	14505	1683
896	14520	1667
897	14535	1650
898	14549	1634
899	14564	1618
900	14579	1601
901	14594	1585
902	14608	1569
903	14623	1552
904	14637	1536
905	14653	1520
906	14668	1504
907	14683	1487
908	14698	1471
909	14712	1455
910	14728	1438
911	14743	1422
912	14759	1406
913	14773	1390
914	14789	1373
915	14804	1357
916	14819	1341
917	14834	1325
918	14850	1308
919	14865	1292
920	14879	1276
921	14894	1260
922	14909	1243
923	14924	1227
924	14938	1211
925	14953	1194
926	14971	1179
927	14986	1162
928	15002	1146
929	15017	1130
930	15032	1114
931	15047	1097
932	15062	1081
933	15082	1065
934	15097	1049
935	15112	1033
936	15126	1017
937	15141	1000
938	15156	984
939	15171	968
940	15187	952
941	15202	936
942	15216	919
943	15231	903
944	15246	887
945	15260	871
946	15276	854
947	15292	838
948	15307	822
949	15321	806
950	15337	790
951	15353	774
952	15369	758
953	15385	741
954	15400	725
955	15415	709
956	15430	693
957	15446	677
958	15461	661
959	15475	644
960	15490	628
961	15506	612
962	15521	596
963	15536	580
964	15551	564
965	15566	547
966	15581	531
967	15596	515
968	15611	499
969	15625	483
970	15643	467
971	15658	451
972	15675	434
973	15690	418
974	15706	402
975	15722	386
976	15739	370
977	15754	354
978	15770	338
979	15786	322
980	15801	306
981	15816	289
982	15834	273
983	15849	257
984	15864	241
985	15879	225
986	15895	209
987	15909	193
988	15923	177
989	15938	160
990	15953	144
991	15968	128
992	15983	112
993	16001	96
994	16017	80
995	16033	64
996	16049	48
997	16064	32
998	16079	16
999	16094	0
